id,deal_id,type,title,description,source,current_status_id,created_at,updated_at,owner_individual_id,tenant_id,account_id
180,1,Job,"Clay - Software Engineer, Integrations",,manual,1,2025-11-12 00:43:44+00,2025-11-12 00:43:44+00,,1,167
181,1,Job,Altana - Senior Software Engineer,,manual,1,2025-11-12 00:57:11+00,2025-11-12 00:57:11+00,,1,168
182,1,Job,T Rowe Price - Senior AI Software Engineer,Workday app,manual,1,2025-11-12 02:10:44+00,2025-11-12 02:10:44+00,,1,169
183,1,Job,Accrue - Technical Product Manager / Solutions Engineer - Enterprise Integrations,,manual,1,2025-11-12 04:04:13+00,2025-11-12 04:04:13+00,,1,170
184,1,Job,Auctor - Software Engineer,,manual,1,2025-11-12 04:08:39+00,2025-11-12 04:08:39+00,,1,171
185,1,Job,Ridgeline - Senior Technical Consultant,,manual,1,2025-11-12 04:11:26+00,2025-11-12 04:11:26+00,,1,172
186,1,Job,"Norm AI - Software Engineer, Platform (Senior/Staff)",,manual,1,2025-11-12 04:45:34+00,2025-11-12 04:45:34+00,,1,173
174,1,Job,Vendelux - Senior Fullstack Engineer,,manual,5,2025-11-11 20:26:47+00,2025-11-17 23:00:54.817484+00,,1,161
129,1,Job,OnMed - Full Stack Engineer,,manual,5,2025-11-11 11:22:46+00,2025-11-17 23:01:57.15329+00,,1,121
128,1,Job,Didero - Lead Software Engineer,,manual,5,2025-11-11 11:22:46+00,2025-11-17 23:02:10.255297+00,,1,120
160,1,Job,Uphold - Senior Backend Engineer (Digital Payments),Completed interview and take home coding assignment,manual,5,2025-11-11 11:22:46+00,2025-11-18 00:36:56.148172+00,,1,148
187,1,Job,Current - Senior Full-Stack Engineer,,manual,1,2025-11-12 04:49:18+00,2025-11-12 04:49:46+00,,1,174
188,1,Job,Hatz - Senior Software Engineer,,manual,1,2025-11-13 16:00:39+00,2025-11-13 16:00:57+00,,1,175
189,1,Job,"Retool - Software Engineer, Workflows",,manual,1,2025-11-13 21:13:12+00,2025-11-13 21:13:12+00,,1,176
191,1,Job,CardFlight - Senior Backend Software Engineer,remote,manual,1,2025-11-14 02:26:18+00,2025-11-14 02:26:43+00,,1,178
192,1,Job,Knot - Senior / Staff Product Engineer,,manual,1,2025-11-14 02:37:49+00,2025-11-14 02:37:49+00,,1,179
193,1,Job,Middesk - Software Engineer,,manual,1,2025-11-14 02:40:31+00,2025-11-14 02:40:31+00,,1,180
194,1,Job,Plaid - Software Engineer,,manual,1,2025-11-14 19:09:16+00,2025-11-14 19:09:16+00,,1,181
195,1,Job,Green Spark - Software Engineer,,manual,1,2025-11-14 19:22:03+00,2025-11-14 19:22:03+00,,1,182
196,1,Job,Double Verify - Senior Software Engineer II - Rockerbox,,manual,1,2025-11-15 19:36:38+00,2025-11-15 19:36:38+00,,1,183
169,1,Job,"WalkMe - Senior Software Engineer Backend, R&D",,manual,2,2025-11-11 19:44:16+00,2025-11-17 19:08:15.374027+00,,1,156
214,1,Job,"Siro - Senior Software Engineer, Backend",,manual,1,2025-11-17 19:12:47.293035+00,2025-11-17 19:12:47.293035+00,,1,71
37,1,Job,ShelfCycle - Senior Software Engineer,Completed tech interview,manual,2,2025-11-11 11:22:46+00,2025-11-25 04:20:36.404475+00,,1,35
215,1,Job,Dealpath - Senior Software Engineer,,manual,1,2025-11-17 19:33:54.067654+00,2025-11-17 19:33:54.067654+00,,1,201
216,1,Job,"Hebbia - Backend Engineer, Growth and Data",,manual,1,2025-11-17 20:47:51.313232+00,2025-11-17 20:47:51.313232+00,,1,202
217,1,Job,Peregrine - Senior Software Engineer,,manual,1,2025-11-17 21:06:17.04902+00,2025-11-17 21:06:17.04902+00,,1,51
47,1,Job,Sonar.us - Senior Software Engineer,Interviewed first round with Saudi HBS MBA,manual,5,2025-11-11 11:22:46+00,2025-11-16 18:46:21.291308+00,,1,186
218,1,Job,Thera - Founding Engineer,You can read more about our cultural principles here: https://www.getthera.com/principles,manual,1,2025-11-17 21:15:50.37693+00,2025-11-17 21:15:50.37693+00,,1,203
219,1,Job,Fair Square - Sr. Software Engineer,requested 180k,manual,1,2025-11-17 22:27:54.808311+00,2025-11-17 22:27:54.808311+00,,1,204
220,1,Job,Cohere - Senior/Staff Full-Stack Engineer,"Please share any experience you have building production applications with AI. (Please note, our technical managers review these answers as a part of the screening process.)
I architected an AI-native CRM using LangChain, LangGraph, OpenAI Agents SDK, and retrieval-augmented generation (RAG). I developed multi‑modal LLM agents for browser automation and built TuneCrook, a music discovery tool integrating Discogs and YouTube that uses AI as a curatorial assistant. I also implemented observability tracing for these AI workflows to ensure performance and reliability in production.",manual,1,2025-11-17 22:45:05.303379+00,2025-11-17 22:45:05.303379+00,,1,205
